id,title,content,summary,url,source,author,published_date,scraped_date,sentiment_score,sentiment_label,mentioned_stocks,mentioned_companies,mentioned_persons,category,subcategory,tags,word_count,read_time_minutes,is_duplicate,duplicate_of_id
33,Groundhog Day Gloom? Why the Nasdaq Is Shaking Off Phils Shadow and Facing Reality,,,https://finance.yahoo.com/news/groundhog-day-gloom-why-nasdaq-154457765.html,yahoo_finance,,2026-02-02T15:44:57,2026-02-03T23:39:58,0.0,neutral,,Groundhog Day Gloom;Why;Facing Reality;Nasdaq Is Shaking Off Phils Shadow,Groundhog Day Gloom;Facing Reality;Nasdaq Is Shaking Off Phils Shadow,,,,0,1,False,
19,SoFis Earnings Growth Looks Strong. Is This Dip a Buying Opportunity?,,,https://finance.yahoo.com/news/sofi-earnings-growth-looks-strong-153831743.html,yahoo_finance,,2026-02-02T15:38:31,2026-02-03T23:39:58,0.0,neutral,,Earnings Growth Looks Strong;Buying Opportunity;Is This Dip,Earnings Growth Looks Strong;Buying Opportunity;Is This Dip,,,,0,1,False,
16,This Is the Most Oversold Dividend Aristocrat Worth Buying,,,https://finance.yahoo.com/news/most-oversold-dividend-aristocrat-worth-153718883.html,yahoo_finance,,2026-02-02T15:37:18,2026-02-03T23:39:58,0.0,neutral,,Most Oversold Dividend Aristocrat Worth Buying;This Is,Most Oversold Dividend Aristocrat Worth Buying;This Is,,,,0,1,False,
12,Dollar Rallies on US Manufacturing Strength,,,https://finance.yahoo.com/news/dollar-rallies-us-manufacturing-strength-153544621.html,yahoo_finance,,2026-02-02T15:35:44,2026-02-03T23:39:58,0.0,neutral,US,Dollar Rallies;Manufacturing Strength,Dollar Rallies;Manufacturing Strength,,,,0,1,False,
9,"MicroStrategy Is Trading Below NAV Again. Should You Buy MSTR Stock Here or Stay Far, Far Away?",,,https://finance.yahoo.com/news/microstrategy-trading-below-nav-again-153424981.html,yahoo_finance,,2026-02-02T15:34:24,2026-02-03T23:39:58,0.0,neutral,NAV;MSTR,Is Trading Below;Stay Far;Far Away;Should You Buy;Stock Here;Again,Is Trading Below;Stay Far;Far Away;Should You Buy;Stock Here,,,,0,1,False,
5,Is Wall Street Bullish or Bearish on ConocoPhillips Stock?,,,https://finance.yahoo.com/news/wall-street-bullish-bearish-conocophillips-153021945.html,yahoo_finance,,2026-02-02T15:30:21,2026-02-03T23:39:58,0.0,neutral,,Bearish;Is Wall Street Bullish;Stock,Is Wall Street Bullish,,,,0,1,False,
41,U.S. Manufacturing Activity Expanded in January,"CONCLUDED
Last Updated:
7 hours ago
U.S. Manufacturing Activity Expanded in January
The U.S. manufacturing economy surprised investors on Monday with something they’ve long waited for: Growth.
The Institute for Supply Management’s Purchasing Managers Index, or PMI, rose to 52.6 in January, up from 47.9 for December. Economists surveyed by FactSet expected a reading of 48.9, so things were better than expected.
A reading above 50 indicates growth. The January reading snaps a 10-month streak of declines. The January 2025 reading was positive at 50.9, snapping a streak of 26 consecutive months below 50, after all revisions. (ISM revises readings once a year in January.)",,https://www.barrons.com/livecoverage/stock-market-news-today-020226/card/u-s-manufacturing-activity-expanded-in-january-bVK6kqbi4Ca6stJrDKKD?siteid=yhoof2&yptr=yahoo,yahoo_finance,,2026-02-02T15:26:23,2026-02-03T23:39:58,0.13080808080808082,positive,U;ISM;LUDED;A;PMI;S,"December;Economists;Last Updated;January
The;The Institute;January;The January;Purchasing Managers Index;Growth;Supply Management","Last Updated;January
The;The Institute;The January;Purchasing Managers Index;Supply Management;Manufacturing Activity Expanded",,,,105,1,False,
30,Forrestania Resources to take full ownership of Mt Palmer gold project,,,https://finance.yahoo.com/news/forrestania-resources-full-ownership-mt-152611370.html,yahoo_finance,,2026-02-02T15:26:11,2026-02-03T23:39:58,0.0,neutral,,Mt Palmer;Forrestania Resources,Mt Palmer;Forrestania Resources,,,,0,1,False,
15,How Much Bigger Could SoFis Lending Business Get? You Might Be Surprised,,,https://finance.yahoo.com/news/much-bigger-could-sofis-lending-152600600.html,yahoo_finance,,2026-02-02T15:26:00,2026-02-03T23:39:58,0.0,neutral,,How Much Bigger Could;Lending Business Get;You Might Be Surprised,How Much Bigger Could;Lending Business Get;You Might Be Surprised,,,,0,1,False,
10,CS continues to solidify its presence in the Southeast,,,https://finance.yahoo.com/news/c-continues-solidify-presence-southeast-152521790.html,yahoo_finance,,2026-02-02T15:25:21,2026-02-03T23:39:58,0.0,neutral,CS,Southeast,,,,,0,1,False,
